dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
991612800,2001-06-04 00:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.63,30.37,28.78,30,1007,,,69,6.7,170,,,,,40,802,Clouds,scattered clouds,03d
991616400,2001-06-04 01:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.43,29.52,28,29.02,1008,,,74,6.2,160,,,,,75,803,Clouds,broken clouds,04d
991620000,2001-06-04 02:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.43,29.71,27,28.24,1008,,,79,4.6,150,,,,,40,802,Clouds,scattered clouds,03n
991623600,2001-06-04 03:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.07,28.19,24.93,26.7,1008,,,81,4.1,160,,,,,20,801,Clouds,few clouds,02n
991627200,2001-06-04 04:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.82,28.49,24.89,26.1,1008,,,84,3.6,140,,,,,20,801,Clouds,few clouds,02n
991630800,2001-06-04 05:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.42,27.18,24.72,26.1,1009,,,84,4.6,160,,,,,20,801,Clouds,few clouds,02n
991634400,2001-06-04 06:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.34,27.83,24,26,1009,,,88,4.1,170,,,,,75,803,Clouds,broken clouds,04n
991638000,2001-06-04 07:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.43,28.88,24.95,26,1009,,,90,3.1,170,,,,,75,803,Clouds,broken clouds,04n
991641600,2001-06-04 08:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.53,28.69,25,26,1008,,,90,3.6,160,,,,,75,803,Clouds,broken clouds,04n
991645200,2001-06-04 09:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.63,28.52,25,26.1,1008,,,87,3.6,170,,,,,40,802,Clouds,scattered clouds,03n
991648800,2001-06-04 10:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.62,28.86,25,26.1,1008,,,87,3.1,170,,,,,20,801,Clouds,few clouds,02n
991652400,2001-06-04 11:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.38,29.18,25,25.6,1008,,,87,2.1,170,,,,,40,802,Clouds,scattered clouds,03n
991656000,2001-06-04 12:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.67,29.61,25.2,26,1009,,,90,2.6,150,,,,,75,803,Clouds,broken clouds,04d
