dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1503532800,2017-08-24 00:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.59,33.06,28.83,33,1011,,,50,3.1,100,,,,,75,803,Clouds,broken clouds,04d
1503536400,2017-08-24 01:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.03,30.29,27.9,32,1012,,,51,4.1,120,,,,,75,803,Clouds,broken clouds,04n
1503540000,2017-08-24 02:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.73,30.34,26.7,30.6,1012,,,60,3.1,130,,,,,75,803,Clouds,broken clouds,04n
1503543600,2017-08-24 03:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.01,30.88,25.7,29.4,1013,,,67,2.1,120,,,,,75,803,Clouds,broken clouds,04n
1503547200,2017-08-24 04:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.29,30.48,24.6,29.4,1013,,,67,1.14,95,,,,,75,803,Clouds,broken clouds,04n
1503550800,2017-08-24 05:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.38,30.83,24.7,29,1013,,,69,1.18,66,,,,,75,803,Clouds,broken clouds,04n
1503554400,2017-08-24 06:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.68,30.25,24,28.3,1012,,,74,1.35,23,,,,,40,802,Clouds,scattered clouds,03n
1503558000,2017-08-24 07:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.49,29.82,24,28,1012,,,74,1.56,10,,,,,40,802,Clouds,scattered clouds,03n
1503561600,2017-08-24 08:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.36,29.75,23.2,28.3,1012,,,74,1.38,32,,,,,75,803,Clouds,broken clouds,04n
1503565200,2017-08-24 09:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.74,28.5,23.5,27.2,1012,,,82,3.1,350,,,,,75,211,Thunderstorm,thunderstorm,11n
1503568800,2017-08-24 10:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.43,28.06,24,27.2,1012,,,79,2.6,10,,,,,40,802,Clouds,scattered clouds,03n
1503572400,2017-08-24 11:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.7,28.81,24,27.2,1012,,,79,2.1,10,,,,,75,803,Clouds,broken clouds,04n
1503576000,2017-08-24 12:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.9,28.41,24.27,27.2,1012,,,79,3.1,30,,,,,75,803,Clouds,broken clouds,04d
1503579600,2017-08-24 13:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.61,29.5,25.06,28,1012,,,79,3.1,60,,,,,75,803,Clouds,broken clouds,04d
1503583200,2017-08-24 14:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.24,30.42,26.42,29.4,1013,,,69,3.6,70,,,,,40,802,Clouds,scattered clouds,03d
1503586800,2017-08-24 15:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.08,33.02,29,31.1,1013,,,65,3.1,40,,,,,20,801,Clouds,few clouds,02d
1503590400,2017-08-24 16:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.51,34.66,30.45,32.2,1012,,,59,2.6,30,,,,,75,803,Clouds,broken clouds,04d
1503594000,2017-08-24 17:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,32.84,35.22,31.52,33.3,1012,,,50,2.6,20,,,,,75,803,Clouds,broken clouds,04d
1503597600,2017-08-24 18:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,33.35,34.56,31.97,34,1011,,,50,4.6,90,,,,,75,803,Clouds,broken clouds,04d
