dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1221224400,2008-09-12 13:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.51,26.25,26,26.96,1005,,,74,6.7,30,,,,,75,803,Clouds,broken clouds,04d
1221228000,2008-09-12 14:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.71,27,27.2,28.3,1005,,,71,7.7,20,,,,,75,803,Clouds,broken clouds,04d
1221231600,2008-09-12 15:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.25,27.7,28.9,30.2,1005,,,67,9.3,30,,,,,75,803,Clouds,broken clouds,04d
1221235200,2008-09-12 16:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.51,29.82,29.4,31.83,1005,,,63,8.2,40,,,,,90,804,Clouds,overcast clouds,04d
1221238800,2008-09-12 17:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.94,30.48,30,31.52,1004,,,63,8.2,40,,,,,20,801,Clouds,few clouds,02d
1221242400,2008-09-12 18:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.82,28.15,30,32.09,1003,,,56,9.8,50,,,,,90,804,Clouds,overcast clouds,04d
1221246000,2008-09-12 19:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.41,29.37,30.6,32.71,1002,,,56,9.3,40,,,,,90,804,Clouds,overcast clouds,04d
1221249600,2008-09-12 20:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.01,29.87,29.4,32.68,1001,,,61,8.8,40,,,,,90,804,Clouds,overcast clouds,04d
1221253200,2008-09-12 21:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.91,26.47,28.3,31.7,999,,,61,11.3,20,,,,,75,803,Clouds,broken clouds,04d
1221256800,2008-09-12 22:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.25,25.16,29.4,31.34,997,,,61,13.9,10,,,,,75,803,Clouds,broken clouds,04d
1221260400,2008-09-12 23:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.49,24.3,28.99,30.28,996,,,63,13.9,10,,,,,75,803,Clouds,broken clouds,04d
1221264000,2008-09-13 00:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.01,21.68,28.75,29.71,994,,,65,17,10,,,,,75,803,Clouds,broken clouds,04d
1221267600,2008-09-13 01:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.2,23.17,28.53,29.4,993,,,63,14.9,20,,,,,75,803,Clouds,broken clouds,04n
1221271200,2008-09-13 02:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.75,21.64,27.8,29.4,993,,,65,16.5,20,,,,,90,500,Rain,light rain,10n
1221274800,2008-09-13 03:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.66,22.09,26.1,29.4,992,,,79,16,20,0.5,0.5,,,90,500,Rain,light rain,10n
1221278400,2008-09-13 04:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.97,18.29,25,27.2,990,,,84,18.5,20,2.5,,,,90,501,Rain,moderate rain,10n
1221282000,2008-09-13 05:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.28,15.49,25,25.88,986,,,88,21.6,360,,,,,90,502,Rain,heavy intensity rain,10n
1221285600,2008-09-13 06:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.05,16.89,24.98,25.27,982,,,87,18.94,12,9.15,,,,100,502,Rain,heavy intensity rain,10n
1221289200,2008-09-13 07:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.49,12.35,24,25.29,974,,,94,25.2,360,1,,,,90,500,Rain,light rain,10n
1221292800,2008-09-13 08:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.52,16.1,24,25.44,969,,,94,19.91,6,13.2,,,,100,502,Rain,heavy intensity rain,10n
1221296400,2008-09-13 09:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.53,16.93,24,25.39,968,,,94,18.75,356,13.2,,,,100,502,Rain,heavy intensity rain,10n
