dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1127433600,2005-09-23 00:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,32.95,34.39,32,34.67,1007,,,44,2.6,130,,,,,40,802,Clouds,scattered clouds,03d
1127437200,2005-09-23 01:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.15,33.86,30,33.09,1008,,,53,1.69,104,,,,,40,802,Clouds,scattered clouds,03n
1127440800,2005-09-23 02:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.02,32,27,31.12,1008,,,57,0.77,94,,,,,20,801,Clouds,few clouds,02n
1127444400,2005-09-23 03:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.16,30.28,26.89,28,1008,,,69,1.5,110,,,,,40,802,Clouds,scattered clouds,03n
1127448000,2005-09-23 04:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.34,29.73,26.7,28,1008,,,66,2.15,97,,,,,40,802,Clouds,scattered clouds,03n
1127451600,2005-09-23 05:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.6,29.18,26,27,1008,,,71,2.22,105,,,,,40,802,Clouds,scattered clouds,03n
1127455200,2005-09-23 06:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.32,29.05,24,28,1008,,,69,1.5,90,,,,,40,802,Clouds,scattered clouds,03n
1127458800,2005-09-23 07:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.16,28.81,24,28,1008,,,79,3.1,40,,,,,75,803,Clouds,broken clouds,04n
1127462400,2005-09-23 08:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.52,28.44,24.4,28,1008,,,74,3.6,30,,,,,75,803,Clouds,broken clouds,04n
1127466000,2005-09-23 09:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.17,27.58,24.4,27,1008,,,71,3.6,10,,,,,75,803,Clouds,broken clouds,04n
1127469600,2005-09-23 10:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.43,25.59,24,27,1007,,,69,4.6,20,,,,,75,803,Clouds,broken clouds,04n
1127473200,2005-09-23 11:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.16,23.41,23,26.1,1007,,,66,6.7,20,,,,,75,803,Clouds,broken clouds,04n
1127476800,2005-09-23 12:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.06,24.18,23,26,1007,,,68,5.7,10,,,,,75,803,Clouds,broken clouds,04n
1127480400,2005-09-23 13:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,25.5,25.34,24.4,26.1,1008,,,69,5.1,20,,,,,75,803,Clouds,broken clouds,04d
1127484000,2005-09-23 14:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.09,27,27,27.31,1007,,,67,5.7,20,,,,,75,803,Clouds,broken clouds,04d
1127487600,2005-09-23 15:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,29.09,28.26,28.3,30.43,1007,,,62,7.2,360,,,,,75,803,Clouds,broken clouds,04d
1127491200,2005-09-23 16:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.24,29.32,31,31.72,1007,,,55,8.8,20,,,,,90,804,Clouds,overcast clouds,04d
1127494800,2005-09-23 17:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,31.98,29.05,31.56,32.43,1006,,,53,10.3,30,,,,,90,804,Clouds,overcast clouds,04d
1127498400,2005-09-23 18:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,32.9,29.93,32,33.9,1005,,,48,9.8,20,,,,,90,804,Clouds,overcast clouds,04d
1127502000,2005-09-23 19:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,33.5,29.23,32.38,34,1004,,,47,11.8,20,,,,,40,802,Clouds,scattered clouds,03d
1127505600,2005-09-23 20:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,33.3,28.53,32.14,34,1003,,,47,12.4,30,,,,,75,803,Clouds,broken clouds,04d
1127509200,2005-09-23 21:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,33.12,27.58,31.08,34,1002,,,45,12.9,20,,,,,20,801,Clouds,few clouds,02d
1127512800,2005-09-23 22:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,32.09,27.72,29.43,33.3,1001,,,48,11.3,20,,,,,40,802,Clouds,scattered clouds,03d
1127516400,2005-09-23 23:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,30.66,25.31,28.42,32,1000,,,53,12.9,10,,,,,1,800,Clear,sky is clear,01d
1127520000,2005-09-24 00:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,28.71,22.31,27.31,29.4,1000,,,62,14.9,30,,,,,75,500,Rain,light rain,10d
1127523600,2005-09-24 01:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,27.21,22.27,26.7,28.33,1000,,,74,13.9,10,,,,,75,500,Rain,light rain,10n
1127527200,2005-09-24 02:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,26.1,21.86,25,27.63,999,,,79,12.9,360,,,,,90,500,Rain,light rain,10n
1127530800,2005-09-24 03:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.7,20.93,24,26.05,998,,,87,12.4,10,0.5,,,,90,500,Rain,light rain,10n
1127534400,2005-09-24 04:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.86,18.8,24.12,25.32,997,,,81,14.9,10,1.15,,,,90,501,Rain,moderate rain,10n
1127538000,2005-09-24 05:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.24,18.23,23.9,25,995,,,88,15.4,350,,,,,40,500,Rain,light rain,10n
1127541600,2005-09-24 06:00:00 +0000 UTC,-18000,Houston,29.739615,-95.376977,24.14,17.26,23.9,24.57,994,,,84,16,340,1.3,,,,90,501,Rain,moderate rain,10n
